Time,q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),engine-1 HP (engine 0),prop Torque (engine 0),prop PFactor Pitch (engine 0),prop PFactor Yaw (engine 0),prop Thrust (engine 0 in lbs),prop RPM (engine 0),engine-1 HP (engine 1),prop Torque (engine 1),prop PFactor Pitch (engine 1),prop PFactor Yaw (engine 1),prop Thrust (engine 1 in lbs),prop RPM (engine 1),engine-1 HP (engine 2),prop Torque (engine 2),prop PFactor Pitch (engine 2),prop PFactor Yaw (engine 2),prop Thrust (engine 2 in lbs),prop RPM (engine 2),engine-1 HP (engine 3),prop Torque (engine 3),prop PFactor Pitch (engine 3),prop PFactor Yaw (engine 3),prop Thrust (engine 3 in lbs),prop RPM (engine 3),/fdm/jsbsim/velocities/vc-kts
0,0,0,0,1309.13375785,0,0,0,9.808810373023585e-05,-6.794758272449669e-17,32.13277289699963,14.23497061732422,-23.69096953027519,-16.54951741647754,0,0,0,0,0,0,-1122.146649477914,-674.2537304450024,0,0,-0,0,0,0,0,4.2651105597615,4.2650918685588,3.132725261908146e-15,-4.770832022195275e-15,360,1,2.733818519034942e-17,-4.163336342344337e-17,-7.236342915723261e-17,0.2424809625449729,0.7575190374550271,-0.4285836503510561,0.4285836503510562,0.2424809625449729,0.7575190374550271,-0.4285836503510561,0.4285836503510562,0,0,30.830367733635,31,121,-9246339.78543951,15388493.59174826,10714875.93881564,-9246339.78543951,15388493.59174826,10714875.93881564,0,4.2650918685588,-3.2619429141447e-09,-0.250771,0,-0,-0,0,0,-0.250771,0,-0,-0,0,0,-0.250771,-0,0,0,0,0,-0.250771,-0,0,0,0,0,0
0.01,1.16649258e-15,0,9.90718067579e-07,1309.1334974,1.962364069484291e-07,1.2111026307664e-13,9.71088853821252e-07,9.81181948748952e-05,1.59598557705968e-10,0.001015284050623677,0.04964160823219643,-0.0826174827616768,-0.0004388062347047139,-7.053565620385435e-09,-6.991370664772172e-07,-32.13177047466537,1.962364069484291e-07,1.2111026307664e-13,9.71088853821252e-07,-1122.146327411058,-674.2537607585731,-3.319403028001489e-07,4.807646943803781e-07,-8.001270108190402e-07,-3.319403028001525e-07,1.962364067352566e-07,9.998086986312813e-14,9.710888538643374e-07,0.098226949572563,0.098226518404119,1.246669214229667e-06,-1.257757027958019e-08,7.757820598803129e-12,1.000000000000002,1.087924123577914e-08,-1.097600066390922e-10,6.770095021966675e-14,0.2424809542566723,0.7575190401400482,-0.4285836457150582,0.4285836549305959,0.2424809230038584,0.7575190713928595,-0.428583590475897,0.4285836726125843,0,0,30.830367699827,31,121,-9246340.190170426,15388489.18169589,10714873.79272124,-9246337.945877671,15388490.53020324,10714873.79272124,8.3561482644808e-06,0.098226518404119,-3.2619429141447e-09,-0.250771,0,-0,-0,0,0,-0.250771,0,-0,-0,0,0,-0.250771,-0,0,0,0,0,-0.250771,-0,0,0,0,0,0
